(( 0.087387449858191, 0.060081931648431, 0.31979451078728, 2.8496262373309), Ceramic )
(( 0.10978353617857, 0.091370057029853, 0.47387481406305, 3.6590249754078), Metal )
(( 0.085536050586897, 0.03, 0.11915260588651, 2.2104287108141), Metal )
(( 0.084891424475572, 0.052960702057064, 0.19612629947571, 2.7078102998887), Metal )
(( 0.061070880610981, 0.056668572017189, 0.24657746013871, 4.1755360255283), Ceramic )
(( 0.16354523767183, 0.12624593368025, 0.44889932007996, 3.4711554454503), Plastic )
(( 0.11610638714973, 0.097522332486657, 0.24036446449462, 3.4677618371783), Plastic )
(( 0.18209717920317, 0.15, 0.52771081959971, 4.7632023016876), Plastic )
(( 0.19082115172641, 0.15, 0.63921349942392, 4.7197404139868), Plastic )
(( 0.1320614781449, 0.11417719004748, 0.40283115111544, 3.5398112953653), Plastic )
(( 0.17728126354247, 0.15, 0.51981026726723, 3.5488698285109), Plastic )
(( 0.09685766352344, 0.069147477937058, 0.44935087996785, 3.1110002838188), Ceramic )
